source	destination	value	model	nSim	nSeq	protocol
Region2	Region1	12.0	simulation	33	150	maxPerRegion_20
Region3	Region1	3.0	simulation	33	150	maxPerRegion_20
Region1	Region2	10.0	simulation	33	150	maxPerRegion_20
Region2	Region2	92.0	simulation	33	150	maxPerRegion_20
Region3	Region2	3.0	simulation	33	150	maxPerRegion_20
Region1	Region3	4.0	simulation	33	150	maxPerRegion_20
Region2	Region3	7.0	simulation	33	150	maxPerRegion_20
Region3	Region3	82.0	simulation	33	150	maxPerRegion_20
Region1	Region1	100.0	simulation	33	150	maxPerRegionYear_20
Region2	Region1	12.0	simulation	33	150	maxPerRegionYear_20
Region3	Region1	2.0	simulation	33	150	maxPerRegionYear_20
Region1	Region2	21.0	simulation	33	150	maxPerRegionYear_20
Region2	Region2	75.0	simulation	33	150	maxPerRegionYear_20
Region3	Region2	7.0	simulation	33	150	maxPerRegionYear_20
Region1	Region3	4.0	simulation	33	150	maxPerRegionYear_20
Region2	Region3	7.0	simulation	33	150	maxPerRegionYear_20
Region3	Region3	65.0	simulation	33	150	maxPerRegionYear_20
Region1	Region1	97.0	simulation	33	150	maxPerRegionYear_50
Region2	Region1	8.0	simulation	33	150	maxPerRegionYear_50
Region3	Region1	3.0	simulation	33	150	maxPerRegionYear_50
Region1	Region2	25.0	simulation	33	150	maxPerRegionYear_50
Region2	Region2	95.0	simulation	33	150	maxPerRegionYear_50
Region3	Region2	4.0	simulation	33	150	maxPerRegionYear_50
Region1	Region3	3.0	simulation	33	150	maxPerRegionYear_50
Region2	Region3	6.0	simulation	33	150	maxPerRegionYear_50
Region3	Region3	52.0	simulation	33	150	maxPerRegionYear_50
Region1	Region1	88.0	simulation	46	150	maxPerRegionYear_50
Region2	Region1	16.0	simulation	46	150	maxPerRegionYear_50
Region3	Region1	0.0	simulation	46	150	maxPerRegionYear_50
Region1	Region2	27.0	simulation	46	150	maxPerRegionYear_50
Region2	Region2	123.0	simulation	46	150	maxPerRegionYear_50
Region3	Region2	4.0	simulation	46	150	maxPerRegionYear_50
Region1	Region3	2.0	simulation	46	150	maxPerRegionYear_50
Region2	Region3	3.0	simulation	46	150	maxPerRegionYear_50
Region3	Region3	32.0	simulation	46	150	maxPerRegionYear_50
Region1	Region1	85.0	simulation	46	150	maxPerRegion_20
Region2	Region1	15.0	simulation	46	150	maxPerRegion_20
Region3	Region1	0.0	simulation	46	150	maxPerRegion_20
Region1	Region2	15.0	simulation	46	150	maxPerRegion_20
Region2	Region2	97.0	simulation	46	150	maxPerRegion_20
Region3	Region2	2.0	simulation	46	150	maxPerRegion_20
Region1	Region3	2.0	simulation	46	150	maxPerRegion_20
Region2	Region3	6.0	simulation	46	150	maxPerRegion_20
Region3	Region3	72.0	simulation	46	150	maxPerRegion_20
Region1	Region1	29.0	simulation	46	150	uniformS_5
Region2	Region1	5.0	simulation	46	150	uniformS_5
Region3	Region1	0.0	simulation	46	150	uniformS_5
Region1	Region2	19.0	simulation	46	150	uniformS_5
Region2	Region2	225.0	simulation	46	150	uniformS_5
Region3	Region2	3.0	simulation	46	150	uniformS_5
Region1	Region3	2.0	simulation	46	150	uniformS_5
Region2	Region3	1.0	simulation	46	150	uniformS_5
Region3	Region3	11.0	simulation	46	150	uniformS_5
Region1	Region1	15.0	simulation	46	150	biased_50
Region2	Region1	6.0	simulation	46	150	biased_50
Region3	Region1	0.0	simulation	46	150	biased_50
Region1	Region2	24.0	simulation	46	150	biased_50
Region2	Region2	249.0	simulation	46	150	biased_50
Region3	Region2	2.0	simulation	46	150	biased_50
Region1	Region3	1.0	simulation	46	150	biased_50
Region2	Region3	0.0	simulation	46	150	biased_50
Region3	Region3	0.0	simulation	46	150	biased_50
Region1	Region1	25.0	simulation	46	150	uniformS_10
Region2	Region1	5.0	simulation	46	150	uniformS_10
Region3	Region1	0.0	simulation	46	150	uniformS_10
Region1	Region2	16.0	simulation	46	150	uniformS_10
Region2	Region2	245.0	simulation	46	150	uniformS_10
Region3	Region2	3.0	simulation	46	150	uniformS_10
Region1	Region3	1.0	simulation	46	150	uniformS_10
Region2	Region3	0.0	simulation	46	150	uniformS_10
Region3	Region3	3.0	simulation	46	150	uniformS_10
Region1	Region1	19.0	simulation	46	150	uniformS_50
Region2	Region1	6.0	simulation	46	150	uniformS_50
Region3	Region1	0.0	simulation	46	150	uniformS_50
Region1	Region2	22.0	simulation	46	150	uniformS_50
Region2	Region2	242.0	simulation	46	150	uniformS_50
Region3	Region2	2.0	simulation	46	150	uniformS_50
Region1	Region3	1.0	simulation	46	150	uniformS_50
Region2	Region3	0.0	simulation	46	150	uniformS_50
Region3	Region3	4.0	simulation	46	150	uniformS_50
Region1	Region1	85.0	simulation	46	150	maxPerRegionYear_10
Region2	Region1	19.0	simulation	46	150	maxPerRegionYear_10
Region3	Region1	1.0	simulation	46	150	maxPerRegionYear_10
Region1	Region2	22.0	simulation	46	150	maxPerRegionYear_10
Region2	Region2	104.0	simulation	46	150	maxPerRegionYear_10
Region3	Region2	3.0	simulation	46	150	maxPerRegionYear_10
Region1	Region3	2.0	simulation	46	150	maxPerRegionYear_10
Region2	Region3	7.0	simulation	46	150	maxPerRegionYear_10
